Lat;Lon;Descr;Столбец2;Столбец3;Столбец4;Sub;Num
52.5468417;103.8701022;Гараж АМП;А 186 ВА 138;1.0;Ангарск  47 квл  60 (ул. Набережная  41);"1;8;15;22;29";0
52.5477232;103.8725863;Гараж АМП;А 186 ВА 138;1.0;Ангарск  39 квл  переулок Китойский;"1;3;5;8;10;12;15;17;19;22;24;26;29;31";0
52.5448696;103.8754878;Гараж АМП;А 186 ВА 138;1.0;Ангарск  47 квл  25;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.5481416;103.876713;Гараж АМП;А 186 ВА 138;1.0;Ангарск  49 квл  4;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.54707;103.87865;Гараж АМП;А 186 ВА 138;1.0;Ангарск  49 квл  12;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.5431149;103.8772864;Гараж АМП;А 186 ВА 138;1.0;Ангарск  47 квл  16;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.5432939;103.877614;Гараж АМП;А 186 ВА 138;1.0;Ангарск  47 квл  18 (ул. Ворошилова  7);"1;4;8;11;15;18;22;25;29";0
52.5483726;103.8810634;Гараж АМП;А 186 ВА 138;1.0;Ангарск  50 квл  9;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.5485799;103.8831676;Гараж АМП;А 186 ВА 138;1.0;Ангарск  51 квл  11;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.53847;103.87229;Гараж АМП;А 186 ВА 138;1.0;Ангарск  95 квл  13;"1;2;3;4;5;8;9;10;11;12;15;16;17;18;19;22;23;24;25;26;29;30;31";0
52.5399543;103.8786554;Гараж АМП;А 186 ВА 138;1.0;Ангарск  72 квл  10;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.539896;103.8785824;Гараж АМП;А 186 ВА 138;1.0;Ангарск  72 квл  18;"1;8;15;22;29";0
52.5389272;103.8763554;Гараж АМП;А 186 ВА 138;1.0;Ангарск  71 квл  2/1;"1;4;8;11;15;18;22;25;29";0
52.5512519;103.8830436;Гараж АМП;А 186 ВА 138;1.0;Ангарск  35 квл  16;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.53855;103.8642;Гараж АМП;А 186 ВА 138;1.0;Ангарск  95 квл  1;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
52.5378;103.87085;Гараж АМП;А 186 ВА 138;1.0;Ангарск  95 квл  10;"1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31";0
